epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.908,1.2887,1.23651,1.11692,0.88095,0.86834,0.84984,0.51013,1.33486,0.94445,1.17129,0.000665912,0.000665912,0.000665912
2,387.915,1.27792,0.82083,1.12768,0.89064,0.88306,0.89627,0.58881,1.24155,0.79342,1.12552,0.00126662,0.00126662,0.00126662
3,557.877,1.24619,0.75366,1.12013,0.84999,0.87608,0.83393,0.53565,1.22672,0.82064,1.12899,0.00180132,0.00180132,0.00180132
4,726.172,1.25495,0.7306,1.12752,0.92508,0.8888,0.89933,0.57354,1.22476,0.69629,1.12876,0.001703,0.001703,0.001703
5,890.15,1.21569,0.68921,1.10402,0.96322,0.90387,0.94121,0.63376,1.18128,0.63153,1.09404,0.001604,0.001604,0.001604
6,1053.61,1.2004,0.65679,1.09638,0.96744,0.90114,0.94211,0.63025,1.19336,0.62158,1.10237,0.001505,0.001505,0.001505
7,1216.86,1.18416,0.63177,1.0932,0.97825,0.90178,0.94855,0.64148,1.17746,0.59175,1.08807,0.001406,0.001406,0.001406
8,1380.7,1.16888,0.6215,1.08648,0.95821,0.90883,0.94472,0.6491,1.14726,0.58224,1.08957,0.001307,0.001307,0.001307
9,1544.9,1.15368,0.60004,1.08356,0.97089,0.91154,0.94808,0.65311,1.1403,0.55648,1.08741,0.001208,0.001208,0.001208
10,1711.55,1.13819,0.58315,1.07364,0.96422,0.90615,0.95192,0.66025,1.15056,0.54476,1.08032,0.001109,0.001109,0.001109
11,1903.66,1.12593,0.53881,1.07137,0.96451,0.90979,0.94656,0.64826,1.14322,0.57185,1.0725,0.00101,0.00101,0.00101
12,2070.31,1.11344,0.52696,1.05994,0.96444,0.92677,0.95609,0.66553,1.13038,0.54467,1.0746,0.000911,0.000911,0.000911
13,2234.9,1.10249,0.5176,1.0613,0.97381,0.91463,0.9564,0.66317,1.15095,0.53258,1.08468,0.000812,0.000812,0.000812
14,2393.92,1.09192,0.50003,1.05318,0.97529,0.91725,0.95594,0.66999,1.12305,0.51699,1.07739,0.000713,0.000713,0.000713
15,2552.97,1.08246,0.48729,1.05068,0.98204,0.92174,0.96096,0.67631,1.10103,0.50283,1.06383,0.000614,0.000614,0.000614
16,2711.3,1.06687,0.47838,1.03922,0.97848,0.92711,0.9596,0.67549,1.10345,0.4925,1.06519,0.000515,0.000515,0.000515
17,2869.48,1.05333,0.46392,1.03412,0.98061,0.93212,0.96237,0.68056,1.09414,0.4868,1.06178,0.000416,0.000416,0.000416
18,3027.11,1.04907,0.45069,1.03034,0.98263,0.92775,0.9649,0.69252,1.0884,0.46841,1.05257,0.000317,0.000317,0.000317
19,3185.86,1.02996,0.43758,1.01855,0.98236,0.9303,0.96431,0.69398,1.07838,0.45604,1.04567,0.000218,0.000218,0.000218
20,3343.24,1.02075,0.42672,1.01489,0.98415,0.93334,0.96514,0.69631,1.07782,0.44822,1.047,0.000119,0.000119,0.000119
